UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
,,NZ2942P102,NZ2942P101,GRV,,,Z,,,,,C,,STE-S1436396,11.4827503674135,11.4827503674135,1
,,NZ29420823,NZ2942A008,GRV,,,Z,,,,,C,,STE-S1436400,12.4059639813941,8.8150238229149,1.40736590514305
,,NZ2942A008,NZ2942P102,GRV,,,Z,,,,,C,,STE-S1436399,3.17893142423724,3.17893142423724,1
"2060",,NZ29420506,NZ29420505,GRV,,,Z,"1935","225","2.10",,C,,STE-S203238,11.2325085800084,11.2325085800084,1
,,NZ29420505,NZ29420504,GRV,,,Z,"1935","225","0.60",,C,,STE-S203237,17.178482150651,17.178482150651,1
,"2320",NZ29420504,NZ29421506,GRV,,,Z,"1935","150","2.30",,C,,STE-S188304,25.3031973978652,25.30316185776,1.00000140457171
,,NZ28410906,NZ28410904,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420029,4.29912665549592,4.29912665549592,1
,,NZ28410904,NZ28410905,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420028,6.59687956535289,6.59687956535289,1
,,NZ28410908,NZ28410907,GRV,"1200",,CO,,,,01-01-2015,S,,STE-S1420035,5.14892037227615,5.14892037227615,1
,,NZ28410905,NZ28410911,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420027,25.6547815621552,25.6547815621552,1
,,NZ28410907,NZ28420011,GRV,"750",,CO,,,,01-01-2015,S,,STE-S1420034,24.8275416624406,24.8275416624406,1
,,NZ28410911,NZ28420009,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420026,6.22892623171002,6.22892623171002,1
,,NZ28420011,NZ28420007,GRV,"750",,CO,,,,01-01-2015,S,,STE-S1420033,7.17480264535594,7.17480264535594,1
,,NZ28420009,NZ28420006,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420025,6.40147123714202,6.40147123714202,1
,,NZ28420007,NZ28420008,GRV,"750",,CO,,,,01-01-2015,S,,STE-S1420032,10.5103709258893,10.5103709258893,1
,,NZ28420008,NZ28420005,GRV,"750",,CO,,,,01-01-2015,S,,STE-S1420031,17.0945500671898,17.0945500671898,1
,,NZ28420006,NZ28420004,GRV,"150",,Z,,,,01-01-2015,F,,STE-S1420024,28.7569825433537,28.7569825433537,1
,,NZ28420005,NZ28420003,GRV,"750",,CO,,,,01-01-2015,S,,STE-S1420030,14.9157124201855,14.9157124201855,1
